source	time	heading	story	url
The Sun	1549848540	Sir Philip Green accused of cover-up as calls grow for police probe into sexual harassment claims against	WITNESS testimonies were left out of an internal sexual harassment report which cleared Sir Philip Green of sexual misconduct, it emerged. Executives said ...	https://news.google.com/articles/CAIiEEH-x1pKodlxev7gpDGNN0EqGQgEKhAIACoHCAow0Ij8CjCRwIgDMOSMzAU?hl=en-IN&gl=IN&ceid=IN%3Aen
Hindustan Times	1549738560	Three years after tree census began, Thane still clueless about green cover	The last tree census, which is carried out every five years for a period of six months, was completed in 2011, and showed Thane had almost 4.5 lakh trees ...	https://news.google.com/articles/CBMilwFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vbXVtYmFpLW5ld3MvdGhyZWUteWVhcnMtYWZ0ZXItdHJlZS1jZW5zdXMtYmVnYW4tdGhhbmUtc3RpbGwtY2x1ZWxlc3MtYWJvdXQtZ3JlZW4tY292ZXIvc3RvcnktN1JMSVNoTHVwbTZPaXgwYktoZk82Si5odG1s0gHmAWh0dHBzOi8vbS1oaW5kdXN0YW50aW1lcy1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9tLmhpbmR1c3RhbnRpbWVzLmNvbS9tdW1iYWktbmV3cy90aHJlZS15ZWFycy1hZnRlci10cmVlLWNlbnN1cy1iZWdhbi10aGFuZS1zdGlsbC1jbHVlbGVzcy1hYm91dC1ncmVlbi1jb3Zlci9zdG9yeS03UkxJU2hMdXBtNk9peDBiS2hmTzZKX2FtcC5odG1sP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
Times of India	1549605960	Nachipalayam village panchayat all set to get a fresh green cover	A week after TOI reported that the massive tree plantation drive at the Madukkarai block panchayat was a big failure and not a single plant.	https://news.google.com/articles/CAIiEL8Fandlm4hquLq7dkcAIosqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
The Hans India	1549567372	Forest department braces to protect green cover	In a revelation that throws light on the sorry state of affairs in the district administration as regards protection of forest lands, it has come to light that as many as ...	https://news.google.com/articles/CBMidGh0dHBzOi8vd3d3LnRoZWhhbnNpbmRpYS5jb20vcG9zdHMvaW5kZXgvVGVsYW5nYW5hLzIwMTktMDItMDgvRm9yZXN0LWRlcGFydG1lbnQtYnJhY2VzLXRvLXByb3RlY3QtZ3JlZW4tY292ZXIvNDkwMzc50gHBAWh0dHBzOi8vd3d3LXRoZWhhbnNpbmRpYS1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cudGhlaGFuc2luZGlhLmNvbS9wb3N0cy9pbmRleC9UZWxhbmdhbmEvMjAxOS0wMi0wOC9Gb3Jlc3QtZGVwYXJ0bWVudC1icmFjZXMtdG8tcHJvdGVjdC1ncmVlbi1jb3Zlci80OTAzNzk_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Times of India	1548316800	Andhra coast to be insulated with green cover to prevent natural calamities: Forest forces chief	Stating that the green cover in the state will be enhanced in such way that the entire AP will be protected from the natural calamities including cycl.	https://news.google.com/articles/CAIiEB-iSKiijIaYD0so2HjL1M8qGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
Times of India	1549391700	Bengalureans join hands to save city’s green cover	That Bengaluru is expanding rapidly is no secret, but concerns over protecting the city's green foliage are also being raised quite often. On a similar note, ...	https://news.google.com/articles/CBMifWh0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL2NpdHkvYmVuZ2FsdXJ1L2JlbmdhbHVyZWFucy1qb2luLWhhbmRzLXRvLXNhdmUtY2l0eXMtZ3JlZW4tY292ZXIvYXJ0aWNsZXNob3cvNjc4NDk0NTAuY21z0gHTAWh0dHBzOi8vbS10aW1lc29maW5kaWEtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbS50aW1lc29maW5kaWEuY29tL2VudGVydGFpbm1lbnQvZXZlbnRzL2JhbmdhbG9yZS9iZW5nYWx1cmVhbnMtam9pbi1oYW5kcy10by1zYXZlLWNpdHlzLWdyZWVuLWNvdmVyL2FtcF9hcnRpY2xlc2hvdy82Nzg0OTQwOC5jbXM_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Times of India	1548403200	Climate change: Delhi to increase green cover, buses	NEW DELHI: In a bid to fight climate change, Delhi government has proposed to increase the capital's green cover from 20% to 33% by planting over 10 l.	https://news.google.com/articles/CAIiEIQWZoXIkCDWQfwvWL1u6q4qGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
Down To Earth Magazine	1547452800	Achieving targeted sequestration from green cover seems impossible	India cannot achieve this Paris Agreement target without political commitment at both central and state government levels.	https://news.google.com/articles/CBMidGh0dHBzOi8vd3d3LmRvd250b2VhcnRoLm9yZy5pbi9ibG9nL2ZvcmVzdHMvYWNoaWV2aW5nLXRhcmdldGVkLXNlcXVlc3RyYXRpb24tZnJvbS1ncmVlbi1jb3Zlci1zZWVtcy1pbXBvc3NpYmxlLTYyODEz0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
News18	1548403200	Delhi Government Proposes to Augment Green cover, Expand CNG Bus Fleet to Combat Climate Change	In a bid to combat climate change, the Delhi government has proposed to increase the capital's green cover from 20 to 33 percent by planting over 10 lakh trees.	https://news.google.com/articles/CBMijAFodHRwczovL3d3dy5uZXdzMTguY29tL25ld3MvYXV0by9kZWxoaS1nb3Zlcm5tZW50LXByb3Bvc2VzLXRvLWF1Z21lbnQtZ3JlZW4tY292ZXItZXhwYW5kLWNuZy1idXMtZmxlZXQtdG8tY29tYmF0LWNsaW1hdGUtY2hhbmdlLTIwMTM0MzMuaHRtbNIB1wFodHRwczovL3d3dy1uZXdzMTgtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3Lm5ld3MxOC5jb20vYW1wL25ld3MvYXV0by9kZWxoaS1nb3Zlcm5tZW50LXByb3Bvc2VzLXRvLWF1Z21lbnQtZ3JlZW4tY292ZXItZXhwYW5kLWNuZy1idXMtZmxlZXQtdG8tY29tYmF0LWNsaW1hdGUtY2hhbmdlLTIwMTM0MzMuaHRtbD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Millennium Post	1548352389	Forest dept undertakes steps to increase green cover	Kolkata: The state Forest department is taking measures to increase the green cover in the state that is rapidly depleting due to urbanisation.'The loss of green ...	https://news.google.com/articles/CBMiYGh0dHA6Ly93d3cubWlsbGVubml1bXBvc3QuaW4va29sa2F0YS9mb3Jlc3QtZGVwdC11bmRlcnRha2VzLXN0ZXBzLXRvLWluY3JlYXNlLWdyZWVuLWNvdmVyLTMzNzg1MNIBsQFodHRwczovL3d3dy1taWxsZW5uaXVtcG9zdC1pbi5jZG4uYW1wcHJvamVjdC5vcmcvdi93d3cubWlsbGVubml1bXBvc3QuaW4vYW1wL2tvbGthdGEvZm9yZXN0LWRlcHQtdW5kZXJ0YWtlcy1zdGVwcy10by1pbmNyZWFzZS1ncmVlbi1jb3Zlci0zMzc4NTA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Times of India	1547539200	UT administration plans to expand green cover in open spaces	CHANDIGARH: The UT's environment department has planned to increase greenery in the city by increasing green cover in open spaces, which are presently.	https://news.google.com/articles/CAIiEEQqbYwGcXhK5RAPOwKtfBAqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
The Weather Channel	1549834048	California Hailstorm Delays Final Round of Pebble Beach Pro-Am Golf Tournament	Hail covers the second green of the Pebble Beach Golf Links during the final round of the AT&amp;amp;T Pebble Beach Pro-Am golf tournament on Sunday, ...	https://news.google.com/articles/CBMiR2h0dHBzOi8vd2VhdGhlci5jb20vbmV3cy9uZXdzLzIwMTktMDItMTAtaGFpbC1kZWxheXMtcGViYmxlLWJlYWNoLXByb2Ft0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Cherry Hill Courier Post	1549893300	Look what a whopping 50,000 solar panels will do for PATCO rail line and its commuters	Solar power to save energy at PATCO and DRPA and provide protective covering of parking gnspaces at PATCO station s.	https://news.google.com/articles/CBMijQFodHRwczovL3d3dy5jb3VyaWVycG9zdG9ubGluZS5jb20vc3RvcnkvbmV3cy9sb2NhbC9zb3V0aC1qZXJzZXkvMjAxOS8wMi8xMS9wYXRjby1uai1jb3ZlcmVkLXBhcmtpbmctbG90cy1zb2xhci1wYW5lbC1ncmVlbi1lbmVyZ3kvMjgwMjkxOTAwMi_SAYIBaHR0cHM6Ly9hbXAtY291cmllcnBvc3RvbmxpbmUtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvYW1wLmNvdXJpZXJwb3N0b25saW5lLmNvbS9hbXAvMjgwMjkxOTAwMj9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Times of India	1547712000	Maharashtra to boost green cover with Miyawaki method	NAGPUR: In a bid to boost 33 crore plantations under the 'Green Maharashtra Mission' in 2019, the state government has decided to implement the 'Miyawaki ...	https://news.google.com/articles/CAIiEN3Rj9-y__6Re6-rp23ndesqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
